name,category,price,rating,review_count,phone_number,address
Izzy's Hoagie Shop,Sandwiches,$,4.0,47,(734) 994-1235,1924 W Stadium Blvd
Gandy Dancer,Breakfast & Brunch,$$$,3.5,310,(734) 769-0592,401 Depot St
Real Seafood,Sandwiches,$$$,3.5,295,(888) 456-3463,341 S Main St
Mi Compadre,Mexican,$,4.0,71,(734) 604-3868,2111 Packard St
Star's Cafe,Middle Eastern,$,4.5,79,(734) 996-0299,2575 Jackson Ave
Amadeus,Hungarian,$$,4.0,99,(734) 665-8767,122 E Washington St
Miki Japanese Restaurant,Sushi Bars,$$,3.5,177,(734) 665-8226,106 S 1st St
Taste of India,Indian,$$,4.0,110,(734) 327-6500,217 S State St
New York Pizza Depot,Sandwiches,$,3.5,220,(734) 669-6973,605 E William St
Pita Pan Mediterranean Grille,Vegetarian,$,4.5,40,(734) 263-2112,2993 S State St
Mikette Bistro and Bar,Mediterranean,$$,4.0,100,(734) 436-4363,1759 Plymouth Rd
Arbor Brewing Company,Vegetarian,$$,3.5,385,(734) 213-1393,114 E Washington St
Gratzi,Italian,$$$,3.5,283,(888) 456-3463,326 S Main St
Cantina,Tacos,$,4.0,65,(734) 222-3715,1140 S University Ave
Slurping Turtle,Ramen,$$,3.5,369,(734) 887-6868,608 E Liberty St
Tmaz Taqueria,Food Delivery Services,$,4.0,340,(734) 477-6089,3182 Packard St
Conor O'neill's,Pubs,$$,3.5,212,(734) 665-2968,Conor O'neill's
Black Pearl Ann Arbor,Lounges,$$,3.5,209,(734) 222-0400,302 S Main St
Michigan Creamery,Juice Bars & Smoothies,$,4.0,63,(734) 662-1700,302 S State St
Kang's Korean Restaurant,Korean,$,3.5,123,(734) 761-1327,1327 S University Ave
Everest Sherpa Restaurant,Indian,$$,4.5,53,(734) 997-5490,2803 Oak Valley Dr
Grillcheezerie Sandwich Shoppe,Soup,$,4.0,53,(734) 368-9229,709 Packard St
Miss Kim,Tapas/Small Plates,$$,4.0,78,(734) 275-0099,415 N 5th Ave
Alley Bar,Bars,$$,4.0,66,(734) 662-8757,112 W Liberty St
People's Food Cooperative,Cafes,$$,3.5,74,(734) 994-9174,216 N 4th Ave
Seoul Street,Korean,$,3.5,308,(734) 719-0085,1771 Plymouth Rd
Kosmo,Sandwiches,$,3.5,109,(734) 668-4070,407 N 5th Ave
The Ravens Club,Lounges,$$,3.5,227,(734) 214-0400,207 S Main St
Frank's Restaurant,American (Traditional),$,3.5,77,(734) 761-5699,334 Maynard St
El Manantial,Mexican,$,4.5,24,,211 W Washington St
KouZina,Greek,$,4.0,52,(734) 997-5155,332 S Main St
Dominick's,Lounges,$$,3.5,191,(734) 662-5414,812 Monroe St
Zingerman's Next Door,Bakeries,$$,4.0,52,(734) 663-3354,422 Detroit St
Totoro,Japanese,$$,3.5,187,(734) 302-3511,215 S State St
Ayse's Turkish Cafe,Gluten-Free,$$,4.0,57,(734) 662-1711,1703 Plymouth Rd
Mighty Good Coffee,Coffee & Tea,$$,4.5,23,(734) 277-1398,1335 S University Ave
Pizza House,Italian,$$,3.5,332,(734) 995-5095,618 Church St
Haymaker Public House,American (Traditional),$$,4.0,49,(734) 997-5399,203 E Washington St
Mighty Good Coffee,Coffee & Tea,$$,4.0,56,(734) 436-8580,3010 Washtenaw
Knight's Downtown Ann Arbor Steakhouse,Steakhouses,$$,3.5,157,(734) 887-6899,600 E Liberty St
BTB Burrito,Mexican,$,3.5,187,(734) 222-4822,810 S State St
The Common Cup,Juice Bars & Smoothies,$,4.5,19,(734) 327-6914,1511 Washtenaw Ave
Le Dog,Soup,$,4.0,51,(734) 327-0091,306 S Main St
Barry Bagels Ann Arbor,Bagels,$,4.0,74,(734) 662-2435,2515 Jackson Ave
Sadako Japanese Restaurant,Sushi Bars,$$,3.5,227,(734) 913-0057,1321 S University Ave
Fleetwood Diner,Diners,$,3.5,237,(734) 995-5502,300 S Ashley St
Blue Tractor BBQ & Brewery,Breweries,$$,3.5,403,(734) 222-4095,207 E Washington St
Hut-K,Vegetarian,$,4.0,141,(734) 786-8312,3022 Packard Rd
The Blue Nile,Vegetarian,$$,3.5,195,(734) 998-4746,221 E Washington St
Knight's Steak House,American (Traditional),$$,4.0,174,(734) 665-8644,2324 Dexter Ave
